ID,Title,Author,Fiction,Genre,Gender,Origin,Language,Pages,Year Published,Centuries,Nobel Prize,Avg_rating,Num_rating,Num_reviews,URL 
1,1984,George Orwell,Fiction,Dystopian,male,UK,English,368,1949,20th,,4.19,4795158,124200,https://www.goodreads.com/book/show/61439040-1984?from_search=true&from_srp=true&qid=x733AoOXEK&rank=1
2,100 Headlines That Changed the World,James Maloney,Non-fiction,History,male,UK,English,309,2012,21st,,3.57,141,23,https://www.goodreads.com/book/show/14567468-100-headlines-that-changed-the-world
43,Infidel,Ayaan Hirsi Ali,Non-fiction,Faith,female,Somalia,English,353,2006,21st,,4.19,90769,7029,https://www.goodreads.com/book/show/81227.Infidel
4,30-Second Psychology ,Christian Jarrett,Non-fiction,Psychology,male,UK,English,160,2011,21st,,3.75,1032,96,https://www.goodreads.com/book/show/11931275-30-second-psychology
56,No god but God,Reza Aslan,Non-fiction,Faith,male,Iran,English,310,2005,21st,,4.13,27475,1771,https://www.goodreads.com/book/show/25307.No_god_but_God
6,50 Political Ideas You Really Need to Know,Ben Dupre,Non-fiction,Politics,male,UK,English,208,2007,21st,,3.78,314,39,https://www.goodreads.com/book/show/11006921-50-political-ideas-you-really-need-to-know
7,"A Brief Guide to Charles Darwin, His Life and Times",Cyril Aydon,Non-fiction,Biography,male,UK,English,352,2007,21st,,4.11,105,16,https://www.goodreads.com/book/show/1960180.A_Brief_Guide_to_Charles_Darwin_His_Life_and_Times
8,A Brief History of How the Industrial Revolution Changed the World,Thomas Crump,Non-fiction,History,male,UK,English,400,2010,21st,,3.36,56,15,https://www.goodreads.com/book/show/15127558-a-brief-history-of-how-the-industrial-revolution-changed-the-world
9,A Brief History of the Universe,J.P.  McEvoy,Non-fiction,Science,male,USA,English,317,2009,21st,,3.83,289,26,https://www.goodreads.com/book/show/7708514-a-brief-history-of-the-universe
69,Shy: A Memoir,Sian Prior,Non-fiction,Autobiography,female,Australia,English,252,2014,21st,,3.56,303,42,https://www.goodreads.com/book/show/22040760-shy
11,A Tear at the Edge of Creation,Marcelo Gleiser,Non-fiction,Science,male,Brazil,English,304,2010,21st,,3.88,381,47,https://www.goodreads.com/book/show/7527320-a-tear-at-the-edge-of-creation
12,A Universe from Nothing,Lawrence M. Krauss,Non-fiction,Science,male,USA,English,204,2012,21st,,3.94,29624,1613,https://www.goodreads.com/book/show/11337189-a-universe-from-nothing
13,Adult Children of Emotionally Immature Parents,Lindsay C. Gibson,Non-fiction,Psychology,female,USA,English,216,2015,21st,,4.39,60756,6266,https://www.goodreads.com/book/show/23129659-adult-children-of-emotionally-immature-parents
98,Why I am not a Christian,Bertrand Russell,Non-fiction,Faith,male,UK,English,31,1957,20th,Lit (1950),4.01,21188,857,https://www.goodreads.com/book/show/30045219-why-i-am-not-a-christian
15,All Quiet on the Western Front,Erich Maria Remarque,Fiction,History,male,Germany,German,300,1928,20th,,4.08,474581,19204,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front?ac=1&from_search=true&qid=Va5hk9L852&rank=1
75,The Big Questions,Steven E. Landsburg,Non-fiction,Philosophy,male,USA,English,288,2009,21st,,3.54,357,52,https://www.goodreads.com/book/show/6144421-the-big-questions
67,Rumi's Little Book of Life,Rumi ,Non-fiction,Faith,male,Afghanistan,Persian,211,2012,21st,,4.13,1529,146,https://www.goodreads.com/book/show/14343182-rumi-s-little-book-of-life
18,Before I Die,Candy Chang,Non-fiction,Self-help,female,USA,English,272,2013,21st,,3.97,296,54,https://www.goodreads.com/book/show/17450497-before-i-die
16,Animal Farm,George Orwell,Fiction,Dystopian,male,UK,English,122,1945,20th,,3.99,4031628,103094,https://www.goodreads.com/book/show/7613.Animal_Farm
72,The Alchemist,Paulo Coelho,Fiction,Philosophy,male,Brazil,Portuquese,182,1988,20th,,3.91,3181493,126868,https://www.goodreads.com/book/show/18144590-the-alchemist
21,Civilization and Its Discontents,Sigmund Freud,Non-fiction,Psychology,male,Austria,German,127,1930,20th,,3.8,41472,1841,https://www.goodreads.com/book/show/357636.Civilization_and_Its_Discontents
22,Conversations on Consciousness,Susan Blackmore,Non-fiction,Science,female,UK,English,274,2005,21st,,4.02,1988,67,https://www.goodreads.com/book/show/254499.Conversations_on_Consciousness
82,The Metamorphosis,Franz Kafka,Fiction,Philosophy,male,Czechia,German,201,1915,20th,,3.88,1179418,49486,https://www.goodreads.com/book/show/485894.The_Metamorphosis
24,Double Entry,Jane Gleeson-White,Non-fiction,Economy,female,Australia,English,294,2011,21st,,3.55,872,153,https://www.goodreads.com/book/show/13136518-double-entry?ref=nav_sb_ss_1_18
25,Economics: The User's Guide,Ha-Joon Chang,Non-fiction,Economy,male,South Korea,English,384,2014,21st,,4.16,7799,735,https://www.goodreads.com/book/show/20613671-economics
79,The Diary of a Young Girl,Anne Frank,Non-fiction,Autobiography,female,Germany,Dutch,283,1947,20th,,4.19,3844358,43221,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
27,Economix: How and Why Our Economy Works,Michael    Goodwin,Non-fiction,Economy,male,USA,English,304,2012,21st,,4.32,4459,610,https://www.goodreads.com/book/show/13591145-economix
88,The Stranger,Albert Camus,Fiction,Philosophy,male,Algeria,French,159,1942,20th,Lit (1957,4.03,1163955,55623,https://www.goodreads.com/book/show/49552.The_Stranger
29,Evolution the Human Story,Alice Roberts,Non-fiction,History,female,UK,English,256,2012,21st,,4.3,494,42,https://www.goodreads.com/book/show/11374533-evolution-the-human-story
74,The Atheist's Bible,Joan Konner,Non-fiction,Faith,female,USA,English,208,2007,21st,,3.92,1324,105,https://www.goodreads.com/book/show/769787.The_Atheist_s_Bible
23,Crime and Punishment,Fyodor Dostoevsky,Fiction,Philosophy,male,Russia,Russian,671,1866,19th,,4.27,941345,39875,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
32,Freud for Beginners,Richard Appignanesi,Non-fiction,Psychology,male,Canada,English,176,1979,20th,,3.67,1942,188,https://www.goodreads.com/book/show/85412.Freud_for_Beginners
33,Freud Verbatim,Sigmund Freud,Non-fiction,Psychology,male,Austria,German,176,2014,21st,,3.39,23,5,https://www.goodreads.com/book/show/20821440-freud-verbatim
34,Freudian Slips,Joel Levy,Non-fiction,Psychology,male,UK,English,224,2013,21st,,3.49,572,57,https://www.goodreads.com/book/show/18688863-freudian-slips
35,God Is Not Great,Christopher Hitchens,Non-fiction,Faith,male,UK,English,307,2007,21st,,3.96,107875,5547,https://www.goodreads.com/book/show/43369.God_Is_Not_Great
96,What I Believe,Tariq Ramadan,Non-fiction,Faith,male,Switzerland,English,148,2009,21st,,3.9,990,100,https://www.goodreads.com/book/show/7005600-what-i-believe
37,Humans of New York: Stories,Brandon Stanton,Non-fiction,Photography,male,USA,English,428,2015,21st,,4.55,19325,1748,https://www.goodreads.com/book/show/24019187-humans-of-new-york
38,Humblebrag: The Art of False Modesty,Harris Wittels,Non-fiction,Humor,male,USA,English,272,2012,21st,,3.46,839,109,https://www.goodreads.com/book/show/13529090-humblebrag
26,Educated,Tara Westover,Non-fiction,Autobiography,female,USA,English,352,2018,21st,,4.47,1611879,114832,https://www.goodreads.com/book/show/35133922-educated
40,I Used to Know That: World History,Emma Marriott,Non-fiction,History,female,UK,English,176,2010,21st,,3.56,287,28,https://www.goodreads.com/book/show/18811694-i-used-to-know-that
19,Candide,Voltaire,Fiction,Philosophy,male,France,French,129,1759,18th,,3.76,282579,12123,https://www.goodreads.com/book/show/19380.Candide
42,In the Shadow of Mountains,Steve McCurry,Non-fiction,Photography,male,USA,English,152,2007,21st,,4.35,48,2,https://www.goodreads.com/book/show/794885.In_the_Shadow_of_Mountains
30,F**K It Therapy,John C. Parkin,Non-fiction,Self-help,male,UK,English,348,2012,21st,,3.52,936,77,https://www.goodreads.com/book/show/13587518-f-k-it-therapy
