Title,Author,URL,Summary
1984,George Orwell,https://www.goodreads.com/book/show/61439040-1984?from_search=true&from_srp=true&qid=x733AoOXEK&rank=1,A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality With a foreword by Thomas Pynchon With a foreword by Thomas Pynchon A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching View our feature on George Orwell s 1984 Thought Police Big Brother Orwellian These words have entered our vocabulary because of George Orwell s classic dystopian novel 1984 The story of one man s nightmare odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be foundhere.
100 Headlines That Changed the World,James Maloney,https://www.goodreads.com/book/show/14567468-100-headlines-that-changed-the-world,"Here are the incredible newspaper headlines that document history’s most important moments—headlines so momentous that anyone reading them knew that the world as they knew it had been changed irrevocably. Headlines That Changed the World looks at stories from the Great Western Crosses the Atlantic in 1838 and Abraham Lincoln Assassinated in 1865, through Wall Street Crashes in 1929 and Hitler Sweeps to Power in 1933, to King Elvis Dead in 1977, Obama Wins Presidency in 2008, and Bin Laden Shot Dead in 2011.Headlines That Changed the World is an ideal book to dip into and discover newspaper headlines that shaped our past. Whether it was news of the Kennedy assassination or the fact that man had finally made it to the moon, these headlines and the history behind them will fascinate history buffs and casual readers alike."
20 Principles,Hassan Al Banna,https://www.goodreads.com/book/show/8594271-usul-20,"Al-Banna's principles aimed to inspire Muslims to actively engage in societal reform, uphold Islamic values, and work toward the establishment of a just and equitable society. His thoughts marked a significant turning point in Islamic intellectual history, influencing many movements and ideologies worldwide"
30-Second Psychology ,Christian Jarrett,https://www.goodreads.com/book/show/11931275-30-second-psychology,"Pavlov’s Dogs, Psychoanalysis, Milgram’s Obedience Study, and Beck’s Cognitive Therapy? Sure, you know what they all mean (that is, you’ve certainly heard of them), but do you understand enough about these psychology theories to join a dinner party debate or dazzle the bar with your knowledge?30-Second Psychology takes the top 50 strands of thinking in this fascinating field, and explains them to the general reader in half a minute, using nothing more than two pages, 300 words, and one picture. While unraveling the inner workings of the human mind it also introduces many of the luminaries in the field along the way, including William James, Aaron Beck, and (of course) Sigmund Freud. From Behaviorism to Cognitivism, what better way to get a handle on your inner demons?"
30-Second Religion,Russell Re Manning,https://www.goodreads.com/book/show/13124582-30-second-religion,Half minute explanations of various world religions.
50 Political Ideas You Really Need to Know,Ben Dupre,https://www.goodreads.com/book/show/11006921-50-political-ideas-you-really-need-to-know,"At a time of corrosive popular cynicism and profound international unease, the need for clarity over the fundamental concepts of politics has never been the forces of Terrorism and Fundamentalism endanger our Security , while government responses to it pose a basic threat to Liberty , Democracy and Human rights . Corruption , Spin and a suspect Political culture arouse public indignation, which is further aggravated by an array of Pressure groups and the far-from-disinterested attentions of the Mass media . In 50 Political Ideas You Really Need to Know , Ben Dupré clears away the murk that obscures key concepts that we ignore at our peril."
"A Brief Guide to Charles Darwin, His Life and Times",Cyril Aydon,https://www.goodreads.com/book/show/1960180.A_Brief_Guide_to_Charles_Darwin_His_Life_and_Times,"Charles Darwin has become one of the most important men in history. The quiet, unsure polymath who avoided confrontation, ensconced in his family home at Downe House in Kent, was also a revolutionary who developed his idea of Natural Selection in isolation. Aydon's short biography is considered one of the best introductions to the life and times of Darwin."
A Brief History of How the Industrial Revolution Changed the World,Thomas Crump,https://www.goodreads.com/book/show/15127558-a-brief-history-of-how-the-industrial-revolution-changed-the-world,"Thomas Crump brings to life the story of the industrial revolution and the inventors, businessmen, scientists and explorers who fashioned it."
A Brief History of the Universe,J.P.  McEvoy,https://www.goodreads.com/book/show/7708514-a-brief-history-of-the-universe,"Since the dawn of time, men have gazed at the stars and attempted to chart the heavens. Beginning at Stonehenge and ending with the current crisis in String Theory, the story of this eternal question to uncover the mysteries of the universe describes a narrative that includes some of the greatest discoveries of all time and leading personalities, including Aristotle, Copernicus, and Isaac Newton, and the rise to the modern era of Einstein, Eddington, and Hawking."
A Doctor in the House,Mahathir Mohamad,https://www.goodreads.com/book/show/10749266-a-doctor-in-the-house,"In his twenty-two years as Prime Minister of Malaysia Dr Mahathir Mohamad transformed his country from an agricultural backwater into an industrial powerhouse that would become the seventeenth-largest trading nation in the world.This remarkable achievement was not without controversy, and Dr Mahathir’s extraordinary vision and iron grip earned him both enemies as well as ardent admirers within and outside of Malaysia. He has been described—typically and paradoxically—as a tyrannical dictator, a bête noir, as well as inspiring, courageous and an outspoken defender of the downtrodden, the Third World, and moderate Islam.At almost every turn Dr Mahathir rewrote the rules. This book reveals hitherto unknown aspects of this intensely private, but publicly bold, statesman. It provides a clear and compelling narrative of modern Malaysian political history as seen through the eyes of one its greatest shapers. It is neither apology nor defence, but a forceful, compelling and often exciting account of how Dr Mahathir achieved what he did in so short a time, and why.About AuthorTun Dr. Mahathir bin Mohamad ( born 10 July 1925) (Jawi:محتير بن محمد) was the fourth Prime Minister of Malaysia. He held the post for 22 years from 1981 to 2003, making him Malaysia's longest-serving Prime Minister, and one of the longest-serving leaders in Asia. Mahathir's political career spanned almost 40 years, from his election as a Malaysian federal Member of Parliament in 1964, until his resignation as Prime Minister in 2003."
A Tear at the Edge of Creation,Marcelo Gleiser,https://www.goodreads.com/book/show/7527320-a-tear-at-the-edge-of-creation,"For millennia, shamans and philosophers, believers and nonbelievers, artists and scientists have tried to make sense of our existence by suggesting that everything is connected, that a mysterious Oneness binds us to everything else. People go to temples, churches, mosques, and synagogues to pray to their divine incarnation of Oneness. Following a surprisingly similar notion, scientists have long asserted that under Nature’s apparent complexity there is a simpler underlying reality. In its modern incarnation, this Theory of Everything would unite the physical laws governing very large bodies (Einstein’s theory of relativity) and those governing tiny ones (quantum mechanics) into a single framework. But despite the brave efforts of many powerful minds, the Theory of Everything remains elusive. It turns out that the universe is not elegant. It is gloriously messy.Overturning more than twenty-five centuries of scientific thought, award-winning physicist Marcelo Gleiser argues that this quest for a Theory of Everything is fundamentally misguided, and he explains the volcanic implications this ideological shift has for humankind. All the evidence points to a scenario in which everything emerges from fundamental imperfections, primordial asymmetries in matter and time, cataclysmic accidents in Earth’s early life, and duplication errors in the genetic code. Imbalance spurs creation. Without asymmetries and imperfections, the universe would be filled with nothing but smooth radiation.A Tear at the Edge of Creation calls for nothing less than a new ""humancentrism"" to reflect our position in the universal order. All life, but intelligent life in particular, is a rare and precious accident. Our presence here has no meaning outside of itself, but it does have meaning. The unplanned complexity of humankind is all the more beautiful for its improbability. It’s time for science to let go of the old aesthetic that labels perfection beautiful and holds that ""beauty is truth."" It’s time to look at the evidence without centuries of monotheistic baggage. In this lucid, down-to-earth narrative, Gleiser walks us through the basic and cutting-edge science that fueled his own transformation from unifier to doubter—a fascinating scientific quest that led him to a new understanding of what it is to be human."
A Universe from Nothing,Lawrence M. Krauss,https://www.goodreads.com/book/show/11337189-a-universe-from-nothing,"Bestselling author and acclaimed physicist Lawrence Krauss offers a paradigm-shifting view of how everything that exists came to be in the first place.“Where did the universe come from? What was there before it? What will the future bring? And finally, why is there something rather than nothing?”One of the few prominent scientists today to have crossed the chasm between science and popular culture, Krauss describes the staggeringly beautiful experimental observations and mind-bending new theories that demonstrate not only can something arise from nothing, something will always arise from nothing. With a new preface about the significance of the discovery of the Higgs particle, A Universe from Nothing uses Krauss’s characteristic wry humor and wonderfully clear explanations to take us back to the beginning of the beginning, presenting the most recent evidence for how our universe evolved—and the implications for how it’s going to end.Provocative, challenging, and delightfully readable, this is a game-changing look at the most basic underpinning of existence and a powerful antidote to outmoded philosophical, religious, and scientific thinking."
