Year,Total, 0 - 4, 5 - 9, 10 - 14, 15 - 19, 20 - 24, 25 - 29, 30 - 34, 35 - 39, 40 - 44, 45 - 49, 50 - 54, 55 - 59, 60 - 64, 65 - 69, 70 - 74, 75 - 79, 80 - 84, 85+
1991,18547.100000000002,2504.1,2363.5,2032.3,1833.4,1683.5,1622.8,1457.0,1215.1,965.6,725.2,610.9,487.0,370.9,266.1,183.5,107.9,72.7,45.6
1992,19067.3,2523.6,2412.2,2102.8,1887.6,1718.8,1647.7,1503.5,1272.5,1013.7,762.6,624.5,505.6,385.5,275.7,191.0,121.3,72.2,46.5
1993,19601.600000000002,2555.1,2458.5,2178.4,1927.4,1756.7,1680.2,1554.1,1322.8,1071.0,799.3,643.3,525.4,400.4,287.3,194.7,124.2,72.4,50.4
1994,20141.700000000004,2592.4,2495.5,2241.3,1979.2,1806.7,1706.5,1595.6,1376.6,1125.0,850.0,660.6,543.4,414.9,301.0,198.5,129.7,71.9,52.9
1995,20681.7,2629.2,2510.4,2313.7,2031.0,1854.5,1741.5,1633.8,1428.4,1185.9,900.7,679.9,561.7,430.2,315.7,203.7,134.9,72.0,54.5
1996,21222.7,2664.2,2529.4,2372.5,2089.9,1894.0,1779.9,1669.6,1481.5,1244.3,953.9,711.3,579.8,446.3,329.6,210.5,136.8,73.7,55.5
1997,21769.1,2695.3,2555.0,2418.4,2155.4,1941.2,1815.1,1709.6,1528.7,1300.0,1010.9,746.4,595.0,464.2,342.0,221.4,137.8,77.1,55.6
1998,22333.5,2738.1,2585.0,2458.6,2221.1,1984.3,1848.1,1752.4,1577.3,1350.6,1075.4,783.7,612.7,483.2,353.1,235.0,137.6,81.1,56.2
1999,22909.600000000002,2773.4,2617.5,2494.7,2282.2,2036.0,1885.2,1795.4,1623.8,1401.9,1141.1,828.9,632.9,501.8,364.7,249.8,138.3,85.1,56.9
2000,23495.000000000004,2833.4,2646.0,2523.7,2335.7,2088.5,1919.5,1837.1,1668.2,1451.0,1205.1,877.7,657.9,519.3,378.3,264.2,142.7,87.9,58.8
2001,24030.499999999996,2801.2,2685.8,2586.8,2428.0,2149.2,1948.1,1854.0,1702.6,1490.6,1250.1,934.2,684.9,537.7,392.5,275.7,152.8,88.6,67.7
2002,24542.6,2742.4,2714.7,2640.4,2516.3,2231.0,1981.6,1869.4,1735.4,1530.7,1291.1,992.7,718.2,553.8,411.0,284.7,166.6,87.8,74.8
2003,25038.100000000002,2668.8,2733.0,2684.8,2594.1,2334.2,2019.9,1886.9,1765.6,1570.5,1331.3,1048.0,759.5,568.0,432.9,291.5,181.6,88.1,79.4
2004,25541.3,2609.5,2741.3,2719.3,2660.9,2448.9,2068.3,1909.5,1792.2,1608.4,1373.0,1097.4,807.3,583.6,454.4,299.1,194.9,91.3,82.0
