Year,Bumi_M,Chi_M,Ind_M,Other_M,Bumi_F,Chi_F,Ind_F,Other_F
1980,3955.7,2249.4,614.6,172.2,3971.1,2210.7,575,130.5
1981,4099.7,2280.8,625.3,182.8,4101,2240.1,587.6,139.6
1982,4251.1,2312.1,636.4,194.4,4238.2,2269.4,600.3,149.3
1983,4406.5,2341.3,646.8,205.9,4380.1,2296.2,612,158.9
1984,4567.1,2369.2,656.2,217.6,4526.1,2321.5,623.7,168.8
1985,4739.3,2398.3,666,229.5,4686.4,2348.9,635.6,179
1986,4919.8,2426.4,676.1,241.9,4854.1,2374,647.6,189.3
1987,5103.9,2450.5,686.6,253.9,5024.1,2394.8,660.3,199.8
1988,5287,2475.8,696.4,266.5,5193.5,2417.4,671.6,210.5
1989,5465.9,2505,705.4,280.2,5358.8,2443.2,682.2,221.4
1990,5650,2526.6,715.1,293.3,5528.4,2463.1,693.4,232
1991,5590.4,2545.1,709.9,98.2,5531.5,2475.9,696.9,96.5
1992,5762.7,2588.6,725.2,105.7,5695.6,2510.2,713,103.5
1993,5939.5,2633.6,740.8,111.2,5864.2,2547.7,729.3,108.5
1994,6118.5,2679.2,756.2,115.6,6036,2585.1,745.7,112.9
1995,6298.8,2724.3,770.6,119.7,6210.1,2621.5,761.7,116.8
1996,6480.2,2768.4,786.1,123.3,6385.1,2657.8,777.3,120.5
1997,6662.9,2812.7,801,127,6562.2,2693.9,793.4,124.5
1998,6851.8,2857.7,816.8,130.5,6745.1,2731.3,810,128.8
1999,7041.1,2904,832.9,134.5,6930.6,2770.7,828,133
2000,7231.4,2950.5,850.3,137.9,7117.9,2811.4,845.7,136.7
2001,7397,2997.9,864.1,138.9,7277.3,2851.4,859,137
2002,7560.2,3037.9,877,139.4,7434.1,2885,871.2,137.2
2003,7718.1,3077.1,889.3,140.1,7586,2916.9,882.8,137.1
2004,7877.6,3113.5,901.4,140.4,7746.2,2948,895.5,137
2005,8041.6,3149.4,912.7,140.7,7905.3,2977.9,906.5,136.8
2006,8206.7,3184.1,924.3,141.2,8066.9,3007.2,917.2,136.8
2007,8375,3218.7,934.8,142,8232.3,3035.1,927.7,137.3
2008,8544.1,3251.9,945.8,143.3,8398.9,3062.8,938.2,137.7
2009,8720.7,3283.6,956.3,142,8572.2,3089.2,948.2,136.1
2010,8915,3314.1,966.1,118.9,8761.3,3116.4,958.7,113.1
2011,9058.3,3333.9,973.1,123.7,8905.9,3137.3,966.8,118
2012,9203.3,3352.2,978.3,127.5,9046.6,3158.5,973.6,121.4
2013,9354.3,3372.8,983.6,131.4,9194.9,3181.7,981.6,125.4
2014,9513.2,3387,987.8,136.2,9353.5,3199.1,989.7,129.6
2015,9668.8,3401.8,990.8,139.6,9513.9,3217.1,995.5,132.6
2016,9822.8,3413.6,991.6,144.2,9662.4,3232.2,1000,136.5
2017,9969.5,3421.4,994.9,147.6,9811.5,3243.7,1006.1,140.4
2018,10116.2,3427.4,997.5,150.6,9959.5,3254.8,1010.7,143.2
2019,10262.7,3433.5,999.9,153.7,10106.8,3265.3,1015,146.1
2020,10452,3517.8,1007.6,116.7,10197.7,3374.7,991.6,98.7
2021,10580.4,3514.2,1008,118.9,10322,3377.7,994.6,101.2
2022,10677.3,3501,1005.1,120.2,10424.7,3372.6,994.9,102.9
2023,10787,3491.7,1004.2,121.9,10538.5,3370.6,996.8,104.4
