Year,State,Population
1980,Johor,1646.2
1981,Johor,1689.3
1982,Johor,1734.6
1983,Johor,1780.2
1984,Johor,1825.8
1985,Johor,1875.5
1986,Johor,1926.5
1987,Johor,1977.9
1988,Johor,2031.0
1989,Johor,2085.5
1990,Johor,2139.6
1991,Johor,2188.1
1992,Johor,2249.1
1993,Johor,2313.4
1994,Johor,2378.1
1995,Johor,2441.4
1996,Johor,2503.9
1997,Johor,2567.5
1998,Johor,2631.7
1999,Johor,2699.4
2000,Johor,2762.5
2001,Johor,2829.9
2002,Johor,2893.6
2003,Johor,2954.0
2004,Johor,3014.6
2005,Johor,3074.4
2006,Johor,3134.4
2007,Johor,3193.5
2008,Johor,3252.3
2009,Johor,3309.4
2010,Johor,3362.9
2011,Johor,3410.5
2012,Johor,3450.4
2013,Johor,3474.4
2014,Johor,3559.8
2015,Johor,3610.3
2016,Johor,3651.8
2017,Johor,3697.0
2018,Johor,3749.4
2019,Johor,3761.2
2020,Johor,4009.7
1980,Kedah,1119.9
1981,Kedah,1140.2
1982,Kedah,1161.8
1983,Kedah,1183.9
1984,Kedah,1206.1
1985,Kedah,1230.8
1986,Kedah,1256.2
1987,Kedah,1281.1
1988,Kedah,1305.4
1989,Kedah,1328.8
1990,Kedah,1352.2
1991,Kedah,1371.3
1992,Kedah,1402.1
1993,Kedah,1434.1
1994,Kedah,1466.6
1995,Kedah,1500.2
1996,Kedah,1533.2
1997,Kedah,1566.9
1998,Kedah,1601.2
1999,Kedah,1636.5
2000,Kedah,1671.9
2001,Kedah,1703.9
2002,Kedah,1734.8
2003,Kedah,1763.7
2004,Kedah,1792.4
2005,Kedah,1820.3
2006,Kedah,1847.5
2007,Kedah,1874.2
2008,Kedah,1900.2
2009,Kedah,1925.3
2010,Kedah,1949.3
2011,Kedah,1971.8
2012,Kedah,2001.1
2013,Kedah,2039.8
2014,Kedah,2062.7
2015,Kedah,2096.5
2016,Kedah,2119.7
2017,Kedah,2143.9
2018,Kedah,2163.0
2019,Kedah,2173.7
2020,Kedah,2131.4
1980,Kelantan,895.7
1981,Kelantan,920.5
1982,Kelantan,947.1
1983,Kelantan,974.6
1984,Kelantan,1002.6
1985,Kelantan,1032.9
1986,Kelantan,1062.8
1987,Kelantan,1093.2
1988,Kelantan,1124.0
1989,Kelantan,1154.5
1990,Kelantan,1187.2
1991,Kelantan,1227.0
1992,Kelantan,1243.5
1993,Kelantan,1259.1
1994,Kelantan,1273.7
1995,Kelantan,1287.7
1996,Kelantan,1301.1
1997,Kelantan,1314.4
