Year,State,Population,Latitude,Longitude
1980,Johor,1646.2,1.4927,103.7414
1981,Johor,1689.3,1.4927,103.7414
1982,Johor,1734.6,1.4927,103.7414
1983,Johor,1780.2,1.4927,103.7414
1984,Johor,1825.8,1.4927,103.7414
1985,Johor,1875.5,1.4927,103.7414
1986,Johor,1926.5,1.4927,103.7414
1987,Johor,1977.9,1.4927,103.7414
1988,Johor,2031.0,1.4927,103.7414
1989,Johor,2085.5,1.4927,103.7414
1990,Johor,2139.6,1.4927,103.7414
1991,Johor,2188.1,1.4927,103.7414
1992,Johor,2249.1,1.4927,103.7414
1993,Johor,2313.4,1.4927,103.7414
1994,Johor,2378.1,1.4927,103.7414
1995,Johor,2441.4,1.4927,103.7414
1996,Johor,2503.9,1.4927,103.7414
1997,Johor,2567.5,1.4927,103.7414
1998,Johor,2631.7,1.4927,103.7414
1999,Johor,2699.4,1.4927,103.7414
2000,Johor,2762.5,1.4927,103.7414
2001,Johor,2829.9,1.4927,103.7414
2002,Johor,2893.6,1.4927,103.7414
2003,Johor,2954.0,1.4927,103.7414
2004,Johor,3014.6,1.4927,103.7414
2005,Johor,3074.4,1.4927,103.7414
2006,Johor,3134.4,1.4927,103.7414
2007,Johor,3193.5,1.4927,103.7414
2008,Johor,3252.3,1.4927,103.7414
2009,Johor,3309.4,1.4927,103.7414
2010,Johor,3362.9,1.4927,103.7414
2011,Johor,3410.5,1.4927,103.7414
2012,Johor,3450.4,1.4927,103.7414
2013,Johor,3474.4,1.4927,103.7414
2014,Johor,3559.8,1.4927,103.7414
2015,Johor,3610.3,1.4927,103.7414
2016,Johor,3651.8,1.4927,103.7414
2017,Johor,3697.0,1.4927,103.7414
2018,Johor,3749.4,1.4927,103.7414
2019,Johor,3761.2,1.4927,103.7414
2020,Johor,4009.7,1.4927,103.7414
1980,Kedah,1119.9,6.1183,100.367
1981,Kedah,1140.2,6.1183,100.367
1982,Kedah,1161.8,6.1183,100.367
1983,Kedah,1183.9,6.1183,100.367
1984,Kedah,1206.1,6.1183,100.367
1985,Kedah,1230.8,6.1183,100.367
1986,Kedah,1256.2,6.1183,100.367
1987,Kedah,1281.1,6.1183,100.367
1988,Kedah,1305.4,6.1183,100.367
1989,Kedah,1328.8,6.1183,100.367
