Year,Male_Bumi,Male_Chinese,Male_Indian,Male_Others,Male_non Citizens,Female_Bumi,Female_Chinese,Female_Indian,Female_Others,Female_non Citizens
1991,5590.4,2545.1,709.9,98.2,472.9,5531.5,2475.9,696.9,96.5,330.1
1992,5762.7,2588.6,725.2,105.7,504.90000000000003,5695.6,2510.2,713.0,103.5,357.9
1993,5939.5,2633.6,740.8,111.2,538.3,5864.2,2547.7,729.3,108.5,388.0
1994,6118.5,2679.2,756.2,115.60000000000001,573.2,6036.0,2585.1,745.7,112.9,419.2
1995,6298.8,2724.3,770.6,119.7,607.8,6210.1,2621.5,761.6999999999999,116.8,450.40000000000003
1996,6480.2,2768.4,786.1,123.3,642.8,6385.1,2657.8,777.3,120.5,482.0
1997,6662.9,2812.7,801.0,127.0,678.1,6562.2,2693.9,793.4,124.5,513.2
1998,6851.8,2857.7,816.8000000000001,130.5,715.0,6745.1,2731.2999999999997,810.0,128.8,546.5
1999,7041.1,2904.0,832.9,134.5,753.9,6930.6,2770.7,828.0,133.0,580.8000000000001
2000,7231.400000000001,2950.5,850.3,137.9,795.1,7117.9,2811.4,845.7,136.7,617.8
2001,7397.0,2997.9,864.1,138.9,859.5,7277.3,2851.4,859.0,137.0,648.8
2002,7560.2,3037.9,877.0,139.4,922.4,7434.099999999999,2885.0,871.1999999999999,137.2,678.3
2003,7718.1,3077.1,889.3000000000001,140.1,983.7,7586.0,2916.9,882.8,137.1,706.8000000000001
2004,7877.6,3113.5,901.4,140.4,1046.3,7746.2,2948.0,895.5,137.0,736.1
2005,8041.599999999999,3149.4,912.7,140.7,1108.5,7905.3,2977.9,906.5,136.8,765.4
2006,8206.7,3184.1,924.3,141.2,1170.6,8066.9,3007.2,917.2,136.8,794.4
2007,8375.0,3218.7,934.8,142.0,1232.5,8232.3,3035.1,927.6999999999999,137.3,822.8
2008,8544.1,3251.9,945.8,143.3,1293.8,8398.9,3062.8,938.1999999999999,137.7,850.9
2009,8720.7,3283.6,956.3000000000001,142.0,1354.4,8572.2,3089.2,948.2,136.1,878.7
2010,8915.0,3314.1,966.1,118.9,1416.3,8761.3,3116.4,958.7,113.1,908.2
2011,9058.3,3333.9,973.1,123.7,1491.0,8905.9,3137.3,966.8,118.0,954.1999999999999
2012,9203.3,3352.2,978.3,127.5,1553.7,9046.6,3158.5,973.6,121.4,994.3
2013,9354.3,3372.8,983.6,131.4,1763.0,9194.9,3181.7,981.6,125.4,1125.3
2014,9513.2,3387.0,987.8,136.2,1843.6,9353.5,3199.1,989.7,129.6,1168.8
2015,9668.8,3401.8,990.8,139.6,1911.2,9513.9,3217.1,995.5,132.6,1214.7
2016,9822.8,3413.6,991.6,144.2,1974.2,9662.4,3232.2000000000003,1000.0,136.5,1255.7
2017,9969.5,3421.4,994.9,147.6,2009.2,9811.5,3243.7000000000003,1006.1,140.4,1278.2
2018,10116.2,3427.4,997.5,150.6,2030.1000000000001,9959.5,3254.7999999999997,1010.7,143.2,1292.8
2019,10262.7,3433.5,999.9,153.7,1915.1,10106.8,3265.3,1015.0,146.1,1225.0
2020,10452.0,3517.7999999999997,1007.6,116.7,1872.4,10197.7,3374.7,991.6,98.7,818.5
2021,10580.4,3514.2,1008.0,118.89999999999999,1779.2,10322.0,3377.7000000000003,994.6,101.2,780.4
2022,10677.3,3501.0,1005.1,120.2,1736.2,10424.7,3372.6,994.9,102.9,764.0
2023,10787.0,3491.7,1004.2,121.89999999999999,2055.2,10538.5,3370.6,996.8,104.4,908.9
