year,artist,song_count
2014,Yuna,860
2014,Beyoncé,673
2014,Ed Sheeran,553
2014,Norah Jones,274
2014,Destiny's Child,248
2014,Troye Sivan,244
2014,The Script,234
2014,Ellie Goulding,213
2014,Colbie Caillat,205
2014,Alicia Keys,188
2014,Sia,157
2014,Justin Timberlake,149
2014,Passenger,147
2014,Guba,114
2014,Taylor Swift,95
2015,Yuna,2019
2015,Beyoncé,518
2015,Eminem,515
2015,Destiny's Child,472
2015,Bee Gees,435
2015,Daniela Andrade,408
2015,Dido,386
2015,Meghan Trainor,285
2015,Hozier,232
2015,Adam Levine,231
2015,Alicia Keys,194
2015,Coldplay,193
2015,John Lennon,187
2015,Avril Lavigne,144
2015,Paris Music,143
2016,Yuna,1012
2016,Pentatonix,852
2016,Beyoncé,486
2016,Selena Gomez,325
2016,Destiny's Child,277
2016,Rihanna,232
2016,Coldplay,206
2016,Meghan Trainor,206
2016,Madonna,170
2016,Bee Gees,152
2016,Adele,144
2016,Twenty One Pilots,143
2016,Sia,140
2016,Dato' Sri Siti Nurhaliza,125
2016,Adam Levine,107
2017,Queen,1467
2017,ZAYN,366
2017,Beyoncé,348
2017,Julia Michaels,348
2017,Yuna,296
2017,mgk,291
2017,Solange,278
2017,Alessia Cara,254
2017,Jon Bellion,218
2017,Ariana Grande,147
2017,James Arthur,141
2017,Ed Sheeran,140
2017,Britney Spears,124
2017,Lady Gaga,124
2017,Colbie Caillat,110
2018,Queen,764
2018,Beyoncé,200
2018,NF,95
2018,Demi Lovato,92
2018,Destiny's Child,73
2018,Eminem,69
2018,Alessia Cara,68
2018,Alicia Keys,67
2018,Little Mix,59
2018,Hailee Steinfeld,55
2018,Bebe Rexha,54
2018,Britney Spears,49
2018,Meghan Trainor,47
2018,Rihanna,47
2018,Miley Cyrus,46
2019,Queen,395
2019,Ariana Grande,292
2019,Julia Michaels,258
2019,Drax Project,164
2019,Destiny's Child,143
2019,Yuna,126
2019,Tones And I,108
2019,Beyoncé,96
2019,Fifth Harmony,87
2019,Ella,77
2019,Miley Cyrus,64
2019,Normani,64
2019,Eminem,49
2019,Hozier,48
2019,JP Saxe,48
2020,Beyoncé,485
2020,Rihanna,418
2020,Yuna,136
2020,Destiny's Child,122
2020,Jessica Mauboy,93
2020,Queen,79
2020,Outkast,77
2020,JP Saxe,68
2020,Adele,67
2020,Blue Ivy,62
2020,Selena Gomez,55
2020,Eminem,50
2020,Andmesh,46
2020,Lady Gaga,41
2020,Natalie Taylor,41
2021,Beyoncé,171
2021,Ariana Grande,46
2021,Taylor Swift,39
2021,Destiny's Child,38
2021,Lady Gaga,35
2021,Yuna,31
2021,Rihanna,27
2021,Ed Sheeran,24
2021,Queen,23
2021,Dua Lipa,21
2021,Coldplay,18
2021,Lizzo,18
2021,Shawn Mendes,18
2021,FRE,17
2021,Hailee Steinfeld,17
2022,Rihanna,345
2022,Sam Smith,286
2022,Taylor Swift,265
2022,Beyoncé,233
2022,Luqman Podolski,225
2022,Cardi B,207
2022,W.A.R.I.S,167
2022,Ariana Grande,145
2022,Rema,134
2022,Stephen Sanchez,132
2022,Nicki Minaj,107
2022,ALYPH,102
2022,Lizzo,90
2022,Little Mix,87
2022,Lady Gaga,83
2023,Aina Abdul,570
2023,Britney Spears,448
2023,Luqman Podolski,427
2023,Eminem,292
2023,Adele,286
2023,Drake,286
2023,Sarah,283
2023,Mahalini,281
2023,Ella,267
2023,Joe Flizzow,265
2023,The Righteous Brothers,254
2023,Daniela Andrade,243
2023,Rihanna,238
2023,Ariana Grande,227
2023,Taylor Swift,227
2024,Hozier,807
2024,Mariah Carey,793
2024,Rossa,710
2024,DOLLA,579
2024,Britney Spears,429
2024,Aina Abdul,395
2024,Post Malone,393
2024,Ariana Grande,335
2024,SZA,315
2024,Kanye West,303
2024,Rihanna,295
2024,Eminem,230
2024,Joe Flizzow,180
2024,Beyoncé,179
2024,21 Savage,169
