Word,Count
dont,565
love,537
know,428
baby,326
let,253
go,251
never,243
get,222
want,204
come,198
make,183
time,173
back,169
need,169
say,168
every,164
try,157
take,155
fuck,148
feel,147
right,146
cant,136
somebody,133
see,132
girls,131
day,130
give,129
night,126
keep,124
good,124
work,122
find,121
life,119
run,116
world,115
body,113
heart,110
think,110
put,108
little,106
boy,103
home,97
away,95
tell,94
sorry,89
bad,87
side,84
wont,82
always,80
better,80
rain,79
much,78
even,78
thing,77
tonight,75
look,74
really,74
used,73
man,72
fall,71
stop,69
girl,68
touch,67
said,67
meant,65
mind,64
us,64
star,64
still,63
kiss,63
late,63
well,62
hard,60
call,60
high,58
wish,57
old,56
around,56
best,56
shit,55
ever,54
last,54
stay,54
hold,53
lost,52
bitch,51
hands,50
long,50
care,50
must,49
people,48
turn,48
cry,48
change,48
top,48
beautiful,48
left,48
walk,47
show,47
next,47
money,46
sick,46
thought,46
wake,45
tears,45
made,45
god,45
babe,45
new,44
nobody,43
light,42
mama,41
hurt,40
feeling,40
til,39
kids,39
hate,39
leave,39
talk,39
stars,38
name,38
skin,38
ready,38
lets,37
guess,37
head,36
found,36
face,36
lose,35
hope,35
theres,35
live,34
someone,34
believe,34
mean,34
nigga,34
alone,33
free,33
gets,33
cool,33
okay,33
eyes,32
break,32
dancing,32
deep,32
feelin,32
gone,31
play,31
pain,31
watch,31
please,31
close,31
told,30
wrong,30
cater,30
enough,29
crazy,29
anything,29
remember,28
song,28
hell,28
far,28
bed,28
came,28
dark,28
friends,28
pussy,28
pickin,28
hit,27
living,27
days,27
inside,27
reason,27
everything,27
dance,27
million,27
dream,26
forever,25
hear,25
words,25
livin,25
something,25
wanted,25
reasons,25
drop,25
taste,24
feels,24
ending,24
easy,24
else,24
middle,24
sweet,23
fly,23
drink,23
fine,23
matter,23
sound,23
freak,23
soul,22
lie,22
wait,22
die,22
young,22
tired,22
giving,22
heard,22
meet,22
waiting,22
person,22
celebrating,22
brown,22
place,21
bring,21
seen,21
tomorrow,21
boys,21
cold,21
saying,21
ass,21
thinking,21
untouchable,21
learn,20
start,20
times,20
sing,20
many,20
goodbye,20
sit,20
minute,20
spinnin,20
staying,20
niggas,20
lovin,19
hand,19
mistakes,19
ask,19
empty,19
hour,19
power,19
longer,19
big,19
going,19
knows,19
sad,19
together,19
treat,19
pretend,19
swear,19
mouth,18
fire,18
help,18
dreams,18
real,18
lord,18
hurts,18
dog,18
proud,18
alive,18
finally,18
lies,17
loving,17
control,17
stand,17
nights,17
sky,17
pretty,17
today,17
met,17
promise,17
least,17
wants,17
shut,17
alright,17
willing,17
julia,17
bitches,17
lights,16
happy,16
theyre,16
done,16
mess,16
knife,16
fast,16
fuckin,16
end,16
tryna,16
shoot,16
rockin,16
worried,16
saxe,16
gang,16
feet,15
understand,15
falling,15
hair,15
holdin,15
open,15
kick,15
seem,15
marry,15
hot,15
roll,15
though,15
fight,15
brand,15
lookin,15
miss,15
strong,15
sleep,15
lead,15
floor,15
ohohoh,15
chris,15
martin,15
first,15
nicki,15
112414,15
running,15
losing,15
called,15
smile,14
single,14
arms,14
tight,14
broken,14
bought,14
went,14
human,14
fell,14
sang,14
morning,14
wherever,14
church,14
worship,14
death,14
weve,14
lonely,14
stranger,14
dinner,14
freaky,14
fun,14
white,14
perfect,14
issues,14
turnt,14
rare,14
thinkin,13
may,13
sun,13
smoke,13
whole,13
rude,13
drunk,13
tryin,13
sins,13
offer,13
wasnt,13
number,13
forget,13
whenever,13
selena,13
gomez,13
loved,13
lips,13
minaj,13
making,13
wave,13
weak,13
ba,13
dey,13
swipe,13
west,13
dry,12
within,12
took,12
follow,12
belong,12
ends,12
makes,12
breakin,12
amen,12
shrine,12
sharpen,12
deathless,12
takin,12
wonder,12
couldnt,12
cut,12
across,12
angel,12
ring,12
slippers,12
dessert,12
beat,12
pull,12
calling,12
waist,12
fallin,12
future,12
turned,12
werent,12
shake,12
talkin,12
rembau,12
hoes,12
hellohello,12
players,12
thousand,11
moment,11
mirror,11
swing,11
full,11
hook,11
songs,11
round,11
hundred,11
takes,11
picture,11
drank,11
house,11
saw,11
speak,11
years,11
couple,11
kim,11
listen,11
older,11
felt,11
room,11
unapologetic,11
yuna,11
coming,11
fix,11
neverland,11
scared,11
scars,11
singin,11
pray,11
savage,11
brain,11
freddie,11
lady,11
damn,11
eh,11
wo,11
temasek,11
deserve,11
till,10
kill,10
buy,10
party,10
act,10
true,10
spend,10
mine,10
anyway,10
anywhere,10
needed,10
fools,10
pay,10
near,10
bye,10
different,10
names,10
shits,10
mad,10
catch,10
imagine,10
isnt,10
awake,10
game,10
send,10
type,10
doin,10
gave,10
dice,10
problems,10
hopin,10
waaaaaaa,10
baddest,10
road,10
water,10
mercury,10
poor,10
accept,10
business,10
rather,10
calls,10
walked,10
trade,10
gaga,10
disappear,10
