year,song,artist,play_count,Genre,Mood,spotify_url
2014,Thinking out Loud,Ed Sheeran,473,Pop,Romantic,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
2014,Come Away With Me,Norah Jones,242,Jazz,Calm,https://open.spotify.com/track/6jGnykaS6TkWp15utXSAeI
2014,Happy Little Pill,Troye Sivan,242,Pop,Sad,https://open.spotify.com/track/4z8Ll8nU1jMqB8HvKTyLP1
2014,Superheroes,The Script,232,Pop Rock,Empowering,https://open.spotify.com/track/37sINbJZcFdHFAsVNsPq1i
2014,How Long Will I Love You,Ellie Goulding,189,Pop,Romantic,https://open.spotify.com/track/3X003bO0MMxXEsJJxidiig
2014,Try,Colbie Caillat,189,Pop,Empowering,https://open.spotify.com/track/0dSchkfNB8SzYj8Bx7bcCW
2014,Chandelier,Sia,142,Pop,Empowering,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
2014,Not a Bad Thing,Justin Timberlake,125,Pop,Romantic,https://open.spotify.com/track/3nB82yGjtbQFSU0JLAwLRH
2014,You're So Fine,Guba,111,Indie,Romantic,https://open.spotify.com/track/21cv4nfmZQ5UA7VFvTgXIg
2014,Cool Kids,Echosmith,89,Indie,Empowering,https://open.spotify.com/track/13P5rwmk2EsoFRIz9UCeh9
2014,Rude,MAGIC!,89,Indie,Happy,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
2014,Life's For The Living,Passenger,88,Pop Rock,Empowering,https://open.spotify.com/track/6o4i7cYPU9lZDbvjXKtR1W
2014,Young And Beautiful,Lana Del Rey,72,Indie,Sad,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9
2014,Musician,Yuna,65,R&B,Happy,https://open.spotify.com/track/5D3Mwo89ut2BYD4fT6WvAh
2014,Another Love,Tom Odell,64,Pop,Sad,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
2015,How Deep Is Your Love,Bee Gees,426,Disco,Calm,https://open.spotify.com/track/2JoZzpdeP2G6Csfdq5aLXP
2015,Thank You,Dido,355,Pop,Calm,https://open.spotify.com/track/3yUcJwYu7fXAfqMj9krY6l
2015,Lost Stars,Adam Levine,230,Pop,Empowering,https://open.spotify.com/track/1Duym1lVQurgKHHSqpOWhY
2015,Like I'm Gonna Lose You,Meghan Trainor,185,Pop,Romantic,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW
2015,Take Me to Church,Hozier,171,Indie,Angry,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
