song,artist,song_id
Thinking out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f
Come Away With Me,Norah Jones,6jGnykaS6TkWp15utXSAeI
Happy Little Pill,Troye Sivan,4z8Ll8nU1jMqB8HvKTyLP1
Superheroes,The Script,37sINbJZcFdHFAsVNsPq1i
How Long Will I Love You,Ellie Goulding,3X003bO0MMxXEsJJxidiig
Try,Colbie Caillat,0dSchkfNB8SzYj8Bx7bcCW
Chandelier,Sia,4VrWlk8IQxevMvERoX08iC
Not a Bad Thing,Justin Timberlake,3nB82yGjtbQFSU0JLAwLRH
You're So Fine,Guba,21cv4nfmZQ5UA7VFvTgXIg
Cool Kids,Echosmith,13P5rwmk2EsoFRIz9UCeh9
Rude,MAGIC!,6RtPijgfPKROxEzTHNRiDp
Life's For The Living,Passenger,6o4i7cYPU9lZDbvjXKtR1W
Young And Beautiful,Lana Del Rey,2nMeu6UenVvwUktBCpLMK9
Musician,Yuna,5D3Mwo89ut2BYD4fT6WvAh
Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO
How Deep Is Your Love,Bee Gees,2JoZzpdeP2G6Csfdq5aLXP
Thank You,Dido,09CnYHiZ5jGT1wr1TXJ9Zt
Lost Stars,Adam Levine,1Duym1lVQurgKHHSqpOWhY
Like I'm Gonna Lose You,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW
Take Me to Church,Hozier,3dYD57lRAUcMHufyqn9GcI
Backpacking Around Europe,Yuna,4IR3YDt6XWuXQOE3Z9CPPb
Cleanin' Out My Closet,Eminem,7BMO7O7ImjV8HNTH74Tshv
Mad World,Gary Jules,3JOVTQ5h8HGFnDdp4VT3MP
Somebody That I Used To Know,Gotye,1qDrWA6lyx8cLECdZE7TV7
Imagine,John Lennon,7pKfPomDEeI4TPT6EOYjn9
Habits (Stay High),Tove Lo,18AJRdgUoO9EYn11N7xzaT
Kiss Me,Sixpence None The Richer,754kgU5rWscRTfvlsuEwFp
Lights And Camera,Yuna,4USgaSv1DqJby1iW6wVpeH
After Midnight,Yuna,781eLoy8pVUCTNegU8gudf
I Wanna Go,Yuna,0Ss4J4QHCkl0btHF5j9xvI
Same Old Love,Selena Gomez,6ZANrVuAMp2rpjhfbOuJly
Unapologetic Bitch,Madonna,4NXMr3Zbt4eAmgwyc3goLq
Hymn for the Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy
How Deep Is Your Love,Bee Gees,2JoZzpdeP2G6Csfdq5aLXP
NO,Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc
Flawless,Beyoncé,0zVMzJ37VQNFUNvdxxat2E
Lost Stars,Adam Levine,1Duym1lVQurgKHHSqpOWhY
Crush,Yuna,3Txcx4jhuiTZSvhAL0WaRc
Send My Love,Adele,563SfWAHJs4FBZMkRN0IFN
"i hate u, i love u",gnash,7vRriwrloYVaoAe3a9wJHe
Lost Boy,Ruth B.,0zMzyHAeMvwq5CRstru1Fp
Cater 2 U,Destiny's Child,0FZvjrHpAmLKj574M4VwrF
Too Close,Yuna,6M1VZfBisoKZDCzBIoGpFk
Fuck You,Lily Allen,5st5644IlBmKiiRE73UsoZ
7/11,Beyoncé,02M6vucOvmRfMxTXDUwRXu
Issues,Julia Michaels,7vu0JkJh0ldukEYbTVcqd0
I Don't Wanna Live Forever,ZAYN,55n9yjI6qqXh5F2mYvUc2y
Bad Things,mgk,1PSBzsahR2AKwLJgx8ehBj
All Time Low,Jon Bellion,1CnPYaKxTVb4LWOtiGOm0m
Pulang,Yuna,2FlD3k6jV8ylgvh1ocMHmB
Come Away With Me,Norah Jones,6jGnykaS6TkWp15utXSAeI
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3
You're Not There,Lukas Graham,3cdmLOVYY9vht4a1THRJcZ
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh
Scars To Your Beautiful,Alessia Cara,0wI7QkCcs8FUQE1OkXUIqd
Weak,AJR,3BuLtAmXKy5uQYl4ED1zBT
Million Reasons,Lady Gaga,7dZ1Odmx9jWIweQSatnRqo
Try,Colbie Caillat,0dSchkfNB8SzYj8Bx7bcCW
Everyday,Ariana Grande,30TmLgK0ja5O8q9l4BShIX
Empty,Olivia O'Brien,5648YJgWmV5TSYRdF6Cxl1
Let You Down,NF,52okn5MNA47tk87PeZJLEL
Sorry Not Sorry,Demi Lovato,0yvPEnB032fojLfVluFjUv
