year,artist,song,sentiment,sentiment_label,,,,,
2014,Ed Sheeran,Thinking out Loud,0.9967,positive,,,,,165
2014,Norah Jones,Come Away With Me,0.1635,positive,,,,,
2014,Troye Sivan,Happy Little Pill,0.4848,positive,,,,,
2014,The Script,Superheroes,-0.9961,negative,,,,,
2014,Ellie Goulding,How Long Will I Love You,0.9447,positive,,,,,
2014,Colbie Caillat,Try,0.9823,positive,,,,,
2014,Sia,Chandelier,0.9395,positive,,,,,
2014,Justin Timberlake,Not a Bad Thing,0.9936,positive,,,,,
2014,Guba,You're So Fine,0.9329,positive,,,,,
2014,Echosmith,Cool Kids,0.9996,positive,,,,,
2014,MAGIC!,Rude,-0.996,negative,,,,,
2014,Passenger,Life's For The Living,0.8812,positive,,,,,
2014,Lana Del Rey,Young And Beautiful,0.9992,positive,,,,,
2014,Yuna,Musician,0.7571,positive,,,,,
2014,Tom Odell,Another Love - Zwette Edit,0.9959,positive,,,,,
2015,Bee Gees,How Deep Is Your Love,0.9929,positive,,,,,
2015,Dido,Thank You - (Acoustic) [Live],0.9936,positive,,,,,
2015,Adam Levine,Lost Stars,-0.9628,negative,,,,,
2015,Meghan Trainor,Like I'm Gonna Lose You,0.9963,positive,,,,,
2015,Hozier,Take Me to Church,-0.7134,negative,,,,,
2015,Yuna,Backpacking Around Europe,0.9932,positive,,,,,
2015,Eminem,Cleanin' Out My Closet,-0.9992,negative,,,,,
2015,Gary Jules,Mad World,-0.9382,negative,,,,,
2015,Gotye,Somebody That I Used To Know,0.9891,positive,,,,,
2015,John Lennon,Imagine,0.6775,positive,,,,,
2015,Tove Lo,Habits (Stay High),-0.804,negative,,,,,
2015,Sixpence None The Richer,Kiss Me,0.9907,positive,,,,,
2015,Yuna,Lights And Camera,0.9957,positive,,,,,
2015,Yuna,After Midnight,0.9898,positive,,,,,
2015,Yuna,I Wanna Go,0.8853,positive,,,,,
2016,Selena Gomez,Same Old Love,0.9913,positive,,,,,
2016,Madonna,Unapologetic Bitch,0.9752,positive,,,,,
2016,Coldplay,Hymn for the Weekend,-0.994,negative,,,,,
2016,Bee Gees,How Deep Is Your Love,0.9929,positive,,,,,
2016,Meghan Trainor,NO,-0.9995,negative,,,,,
2016,Beyoncé,***Flawless (feat. Chimamanda Ngozi Adichie),0.9982,positive,,,,,
2016,Adam Levine,Lost Stars,-0.9628,negative,,,,,
2016,Yuna,Crush,0.962,positive,,,,,
2016,Adele,Send My Love (To Your New Lover),0.9994,positive,,,,,
2016,gnash,"i hate u, i love u (feat. olivia o'brien)",-0.8703,negative,,,,,
2016,Ruth B.,Lost Boy,0.9892,positive,,,,,
2016,Destiny's Child,Cater 2 U,0.9987,positive,,,,,
2016,Yuna,Too Close,0.9657,positive,,,,,
2016,Lily Allen,Fuck You,-0.9992,negative,,,,,
2016,Beyoncé,7-Nov,0.9386,positive,,,,,
2017,Julia Michaels,Issues,-0.0129,neutral,,,,,
2017,ZAYN,I Don't Wanna Live Forever,-0.9809,negative,,,,,
2017,mgk,Bad Things - With Camila Cabello,-0.7756,negative,,,,,
2017,Jon Bellion,All Time Low,-0.9999,negative,,,,,
2017,Yuna,Pulang,0.9906,positive,,,,,
2017,Norah Jones,Come Away With Me,0.1635,positive,,,,,
2017,Ed Sheeran,Shape of You,0.9995,positive,,,,,
2017,Lukas Graham,You're Not There,-0.8922,negative,,,,,
2017,James Arthur,Say You Won't Let Go,0.9946,positive,,,,,
2017,Alessia Cara,Scars To Your Beautiful,0.9986,positive,,,,,
2017,AJR,Weak,-0.9879,negative,,,,,
